Input sentence,YAKE Prediction,TEXT_RANK Prediction,Target Prediction
Love the storyline,love/storyline/love the storyline,,"Good storyline/subject matter,,,,,,"
i have nothing specific to say here,nothing specific/nothing/specific/say/specific to say,,"None/no answer,,,,,,"
The diversity of the cast is remarkable. I'm a big fan of a lot of the actors on the show including Jeffery Wright and Thandie Newton. Its a pleasure to watch.,including jeffery wright/show including jeffery/thandie newton/jeffery wright/including jeffery,thandie newton/jeffery wright/big fan,"Good cast/actors,Other acting mentions,Like Thandie Newton,Good/like the show/everything,,,"
It's unique and interesting,unique/interesting/unique and interesting,unique,"Unique/different,Interesting/engaging,,,,,"
the entertainment,entertainment,,"Witty/humorous/funny/entertaining,,,,,,"
I like westworld,like westworld/westworld/like,,"Good/like the show/everything,,,,,,"
"The entire premise of the show reminds me of a futuristic Fantasy Island, a show that was near and dear to me growing up and the modern-day adaptation did not live up to. Westworld takes this a bit farther with the wild west theme setting it apart from most other shows on TV. The show consistently rotates in fresh faces so you never really know what will happen next. I also like that while the show is about Westworld, plenty of action happens elsewhere in this universe so the scenery never becomes stale",futuristic fantasy island/fantasy island/futuristic fantasy/day adaptation/entire premise,wild west theme/futuristic fantasy island/fresh faces/day adaptation/entire premise,"Futuristic,Science fiction/fantasy,Creative/innovative/modern,Suspense/Mystery/thrillers,Like the action/adventurous,Like the premise/setting/scenery,"
Trying to unravel everything and constantly being on the edge of my seat.,unravel everything/trying/seat/trying to unravel/unravel,edge,"Suspense/Mystery/thrillers,Attention grabbing/holds interest/keeps you wanting to watch more,,,,,"
"Curious to know what plot twist can come next; what is Delores' ultimately plan, it is suspenseful",ultimately plan/come next/plot twist/delores/curious,plot twist,"Attention grabbing/holds interest/keeps you wanting to watch more,Suspense/Mystery/thrillers,Like the character Dolores Abernathy,,,,"
I aint explaining crap to yall robots.,explaining crap/robots/explaining/crap,crap,"All negative mentions,,,,,,"
The sy/fi aspect and plot twists at every turn. I enjoy shows that make you think and leave you on cliff hangers.,every turn/plot twists/turn/cliff hangers/aspect,plot twists/fi aspect,"Science fiction/fantasy,Suspense/Mystery/thrillers,Witty/humorous/funny/entertaining,Attention grabbing/holds interest/keeps you wanting to watch more,,,"
"I personally have not sat down to watch more than the pilot episode. I binge watch series quite often so I intend on trying to get into Westworld. Actually, it will probably be the next show I try to get into but right now my wife and I are binge watching True Blood.",pilot episode/watch series quite/binge watch series/watching true blood/true blood,next show/pilot episode/true,"Have not watched enough to comment/not familiar with the show,,,,,,"
interesting show,interesting show/interesting/show,interesting,"Interesting/engaging,,,,,,"
Westworld is an exclusive theme park where those who can afford a ticket can live without limits.,live without limits/exclusive theme park/without limits/exclusive theme/theme park,exclusive theme park,"Like the concept/idea of futuristic amusement park,,,,,,"
It is a unique storyline,unique storyline/storyline/unique,unique,"Unique/different,Good storyline/subject matter,,,,,"
"I like all the actors. I keep watching hoping it will get better and less confusing. It just keeps getting whackier and confusing. I thought last year was mixed up, but this year is really nutty, hard to follow and kind of beginning to wish they would all just be gone.",actors/confusing/less confusing/keep watching hoping/like,last year/year/better/actors,"Good cast/actors,,,,,,"
I started to watch because I heard good things and the fact it had Anthony Hopkins in it. The show is sort of confusing. I would like to know what the pearls are.,heard good things/anthony hopkins/heard good/good things/anthony,anthony hopkins/good things,"Heard good review/recommendations by family/friends,Other acting mentions,Attention grabbing/holds interest/keeps you wanting to watch more,,,,"
because it is the best and i like the most,best/like,best,"Good/like the show/everything,,,,,,"
Is not a rerun on other channels,channels/rerun,other,"Unique/different,,,,,,"
Thefirst one is the one I was looking for a text from you soon and have a great day and I will be there at the,great day/thefirst one/thefirst/day/one,great day,"None/no answer,,,,,,"
the modern trust on an old western,old western/modern trust/western/modern/trust,modern trust,"Creative/innovative/modern,,,,,,"
"it has an excellent plot, and with a high level cast",high level cast/excellent plot/level cast/high level/plot,level/excellent,"Like the premise/setting/scenery,Good cast/actors,,,,,"
The entertainment,entertainment,,"Witty/humorous/funny/entertaining,,,,,,"
"How unique it is, both story line and characters. I also enjoy all of the drama in contains.",story line/characters/line and characters/unique/story,story line/unique,"Unique/different,Good storyline/subject matter,Appealing characters/I like the characters,Like the drama,,,"
it keeps you entertained and attached to it. explore different topics when comparing it with other shows,explore different topics/explore different/keeps/entertained/attached,different topics,"Witty/humorous/funny/entertaining,Attention grabbing/holds interest/keeps you wanting to watch more,Unique/different,Like the premise/setting/scenery,,,"
Meh,meh,,"None/no answer,,,,,,"
Nice,nice,,"Good/like the show/everything,,,,,,"
Good writing,good writing/good/writing,good,"Like the writing/dialog,,,,,,"
I like the cast and plot,plot/cast and plot/like/cast/like the cast,cast,"Good cast/actors,Like the premise/setting/scenery,,,,,"
Unique storyline and I saw the original Westworld of 1973 and I thought is was a great movie.,original westworld/unique storyline/westworld/westworld of 1973/unique,unique storyline/original,"Unique/different,Already seen/like the original movie,,,,,"
the acting is awesome and the storyline is so different and interesting,interesting/different and interesting/acting/awesome/storyline,awesome/acting,"Good acting,Unique/different,Interesting/engaging,,,,"
"its violence, Nice",nice/violence,violence,"Violence,,,,,,"
I haven't watched season 3 yet.,watched season/watched/yet/season,,"Have not watched enough to comment/not familiar with the show,,,,,,"
The characters and the sci-fi,sci/characters,characters,"Appealing characters/I like the characters,Science fiction/fantasy,,,,,"
I like the cast and like that it is a new and different show.,different show/show/like/cast/new,different show,"Good cast/actors,Unique/different,,,,,"
"The more you watch it, the more you fit the pieces to the puzzle in the show. It makes you think and it unlike any show out there, the storyline doesn't compare to anything else.",fit the pieces/anything else/show/watch/fit,puzzle/pieces,"Attention grabbing/holds interest/keeps you wanting to watch more,Unique/different,,,,,"
The way that AI is depicted and portrayed on the show,show/way/depicted/portrayed/depicted and portrayed,way,"Technological aspects (inclusion of robots, exploring AI, etc.),,,,,,"
the story and characters,characters/story and characters/story,story,"Good storyline/subject matter,Appealing characters/I like the characters,,,,,"
The futuristic nature of the characters,futuristic nature/characters/futuristic/nature,futuristic,"Futuristic,,,,,,"
No,,,"None/no answer,,,,,,"
It makes me think,think/makes me think/makes,,"Attention grabbing/holds interest/keeps you wanting to watch more,,,,,,"
"I have only seen a few episodes, but I am looking forward to watching the show again",looking forward/episodes/seen/looking/forward,few,"Have not watched enough to comment/not familiar with the show,,,,,,"
