Input sentence,YAKE Prediction,YAKE Prediction Cleaned,TEXT_RANK Prediction,TEXT_RANK Prediction cleaned,Target Prediction
The fascination about how AI will evolve to challenge humanity,challenge humanity/humanity/fascination/evolve/challenge,challenge humanity/fascination/evolve,fascination,fascination,"Science fiction/fantasy,Technological aspects (inclusion of robots, exploring AI, etc.),,,,,"
"I need to get caught up on it, but just the sci fi aspect of it and artificial intelligence, and the idea of them having consciousness. It's very complicated but interesting.",artificial intelligence/get caught/intelligence/consciousness/need,artificial intelligence/get caught/consciousness/need,artificial intelligence/aspect/sci,artificial intelligence/aspect/sci,"Science fiction/fantasy,Technological aspects (inclusion of robots, exploring AI, etc.),Interesting/engaging,,,,"
Everything,everything,everything,,,"Good/like the show/everything,,,,,,"
The authenticity of the show is unmatched. It's very entertaining and modern yet colonial.,modern yet colonial/unmatched/show is unmatched/yet colonial/authenticity,modern yet colonial/show is unmatched/authenticity,unmatched/show/authenticity,unmatched/show/authenticity,"Original,Interesting/engaging,Creative/innovative/modern,,,,"
WESTWORLD is very excellent show and informative program,informative program/westworld/excellent show/program/excellent,informative program/westworld/excellent show,excellent show,excellent show,"Good/like the show/everything,Informative/detailed,,,,,"
Cast and creator of the show. Special effects. Futuristic outlook. Lots of action and adventure that keeps me wanting more.,cast/show/special effects/cast and creator/creator,show/special effects/cast and creator,futuristic outlook/special effects/cast,futuristic outlook/special effects/cast,"Good cast/actors,Other acting mentions,Good visuals/graphics/special effects,Futuristic,Like the action/adventurous,Attention grabbing/holds interest/keeps you wanting to watch more,"
Different story,different story/different/story,different story,different,different,"Unique/different,,,,,,"
"all it's good, i like it so much",good/much/like,good/much/like,,,"Good/like the show/everything,,,,,,"
Aron Paul and the story,aron paul/paul/aron/story,aron paul/story,aron,aron,"Like Aaron Paul,Good storyline/subject matter,,,,,"
Have something that will keep your eyes to the beginning and end of the show,show/something/keep/eyes/beginning,show/something/keep/eyes/beginning,beginning/eyes,beginning/eyes,"Attention grabbing/holds interest/keeps you wanting to watch more,,,,,,"
"hing, about Westworld draws you into this show and makes you want to watch? What makes it a good show? (Please be as detailed and com",westworld draws/hing/westworld/watch/show,westworld draws/hing/watch/show,good show/show/hing,good show/hing,"None/no answer,,,,,,"
I haven't kept up since the first season and I regret that.,first season/kept/kept up since/since/first,first season/kept up since,first,first,"Have not watched enough to comment/not familiar with the show,,,,,,"
Since I didn't watch much all I can say is the plot pretty good and its interesting with the character dynamic,plot pretty good/watch much/character dynamic/plot pretty/pretty good,plot pretty good/watch much/character dynamic,character dynamic,character dynamic,"Have not watched enough to comment/not familiar with the show,Good storyline/subject matter,Appealing characters/I like the characters,,,,"
The acting,acting,acting,,,"Good acting,,,,,,"
The futuristic role of technology and how it drives society,drives society/futuristic role/society/futuristic/role,drives society/futuristic role,futuristic role,futuristic role,"Futuristic,Technological aspects (inclusion of robots, exploring AI, etc.),,,,,"
THE NUDITY AND ORIGINAL MOVIE,original movie/movie/nudity/original/nudity and original,original movie/nudity and original,original,original,"Other storyline/Plot mentions,Already seen/like the original movie,,,,,"
Interesting story line with lots of twists. Plus an outstanding cast,interesting story line/interesting story/story line/interesting/twists,interesting story line/twists,outstanding cast/story,outstanding cast/story,"Interesting/engaging,Good storyline/subject matter,Suspense/Mystery/thrillers,Good cast/actors,,,"
I liked at first to confusing,confusing/first to confusing/liked/first/liked at first,first to confusing/liked at first,,,"All negative mentions,,,,,,"
Ed Harris character,harris character/harris/character,harris character,harris,harris,"Other characters mentions,,,,,,"
The acting,acting,acting,,,"Good acting,,,,,,"
Fantastic cinematography. Superb special effects. Terrific acting performances. Thought-provoking ideas.,fantastic cinematography/fantastic/cinematography/thought/superb special effects,fantastic cinematography/thought/superb special effects,superb special/fantastic cinematography,superb special/fantastic cinematography,"Good visuals/graphics/special effects,Good acting,Thought provoking,,,,"
The characters,characters,characters,,,"Appealing characters/I like the characters,,,,,,"
I love the themes and characters,characters/themes and characters/love/themes/love the themes,themes and characters/love the themes,themes,themes,"Good storyline/subject matter,Appealing characters/I like the characters,,,,,"
too confusing,confusing,confusing,,,"All negative mentions,,,,,,"
Nothing in particular,nothing/particular/nothing in particular,nothing in particular,,,"None/no answer,,,,,,"
the artificial intelligence aspect.,artificial intelligence aspect/intelligence aspect/artificial intelligence/aspect/artificial,artificial intelligence aspect,intelligence,intelligence,"Technological aspects (inclusion of robots, exploring AI, etc.),,,,,,"
it’s very different and creative and unique,different and creative/unique/creative and unique/different/creative,different and creative/creative and unique,different,different,"Unique/different,Creative/innovative/modern,,,,,"
The characters,characters,characters,,,"Appealing characters/I like the characters,,,,,,"
"Sci-fi nature of the show, Im not as interested in the show as much now. I've watched Season 1-2 but haven't picked it up for Season 3",sci/season/show/nature/watched season,sci/show/nature/watched season,fi nature/sci,fi nature/sci,"All negative mentions,,,,,,"
The writing is unlike the other shows available to watch on tv. I like complex shows that make you think,shows available/shows/writing/unlike/available,shows available/writing/unlike,other shows available/shows,other shows available,"Like the writing/dialog,Complex storyline,,,,,"
Characters and complexity,characters/complexity/characters and complexity,characters and complexity,characters,characters,"Appealing characters/I like the characters,Complex storyline,,,,,"
I am not sure,sure,sure,,,"Don't know,,,,,,"
I like all sci-fi movies so the fact it has that future vibe to it. I really like that stuff.,future vibe/sci/like/movies/fact,future vibe/sci/like/movies/fact,fi movies/future,fi movies/future,"Science fiction/fantasy,Futuristic,Good/like the show/everything,,,,"
it is ok,None,None,,,"Good/like the show/everything,,,,,,"
The suspense and the thrill,thrill/suspense,thrill/suspense,suspense,suspense,"Suspense/Mystery/thrillers,,,,,,"
"nothing like Ive seen before. Exciting, mind blowing, intense and attention getting.",nothing like/exciting/nothing/mind blowing/like,nothing like/exciting/mind blowing,mind blowing,mind blowing,"Unique/different,Exciting,Intense/serious,Attention grabbing/holds interest/keeps you wanting to watch more,,,"
"Well, I was a big fan of the movie. Yes, this show went in a completely different direction, but it is done very well.",big fan/well/movie/completely different direction/yes,big fan/well/movie/completely different direction/yes,big fan/different,big fan/different,"Already seen/like the original movie,Unique/different,Other storyline/Plot mentions,,,,"
